new_product,matched_old_product,score
นส.8 สี SP,น.ส. 14 สี SP,0.8441065549850464
กะละมัง 004/58 สี SP,กะละมัง 004/53 สี SP,0.9906045198440552
กะละมัง 004/58 สี SP,กะละมัง 004/75 สี SP,0.9811418056488037
กะละมัง 004/58 สี SP,กะละมัง 004/75 ดำ SP,0.9259026050567627
กะละมัง 004/75 ดำ SP,กะละมัง 004/75 ดำ SP,0.9999998807907104
กะละมัง 004/75 ดำ SP,กะละมัง 004/75 สี SP,0.908214807510376
กะละมัง 004/75 ดำ SP,กะละมัง 004/53 สี SP,0.9040413498878479
โต๊ะรีดผ้าเตี้ย ตัวเล็ก (18) ต-046 LW,โต๊ะรีดผ้าเตี้ย - ตัวเล็ก (18) LW,0.9224175810813904
โต๊ะรีดผ้าเตี้ย ตัวเล็ก (18) ต-046 LW,โต๊ะรีดผ้า 6 ระดับ (16) LW,0.7907167673110962
โต๊ะรีดผ้าเตี้ย ตัวเล็ก (18) ต-046 LW,ตะกร้ากลมเล็ก1212,0.787750244140625
ตะกร้าฝาปิด(จัมโบ้)321/4 สีใส/หวาน V,ตะกร้าเข่งก้า สีหวาน 444 PMP,0.8143645524978638
ตะกร้าฝาปิด(จัมโบ้)321/4 สีใส/หวาน V,ตะกร้าหิ้ว 290 ทรงรี - สีสด A (MM),0.8088905811309814
ตะกร้าฝาปิด(จัมโบ้)321/4 สีใส/หวาน V,ตะกร้ากลม 81 สีหวาน/81AB สีเข้ม - ลายเปีย,0.7990450263023376
เก้าอี้ หน้ากลม 250-B สีเข้ม (ปักกิ่ง) SH,เก้าอี้ไต้หวัน 230 สีเข้ม B - หน้าเหลี่ยม SH,0.9128677845001221
เก้าอี้ หน้ากลม 250-B สีเข้ม (ปักกิ่ง) SH,เก้าอี้ไต้หวัน 230 (A) หน้าเหลี่ยม SH,0.9031188488006592
เก้าอี้ หน้ากลม 250-B สีเข้ม (ปักกิ่ง) SH,เก้าอี้ไม้ - หน้าเหลี่ยม (ใหญ่ สูง 25 ซม) 1*2 PR,0.7954643964767456
ถัง+ฝา 12 ตำ AC,ถัง + ฝา 12 สี AC,0.9299616813659668
ถัง+ฝา 12 ตำ AC,ถัง + ฝา 12 ดำ AC,0.9278354644775391
ถัง+ฝา 12 ตำ AC,ถัง ปูน 15 สี AC,0.8648039102554321
ถังฝา KF-008 สีดำ RTH,ถัง ฝา KF-008 สีดำ RTH,0.9941039085388184
ถังฝา KF-008 สีดำ RTH,ถังปูนดำ 16 sp,0.7902665138244629
ถังฝา KF-008 สีดำ RTH,ถังปูน 15 ดำ SP,0.765389621257782
ตะหลิวไม้ 12 แผงกระดาษ #9890 IMM,ทัพพีตักข้าว 10610 ใส้ด้ามสี แผงกระดาษ,0.8276302814483643
ตะหลิวไม้ 12 แผงกระดาษ #9890 IMM,ทัพพีตักข้าว 1*2 #10609 ใส้ด้ามสี แผงกระดาษ,0.7975943088531494
ตะหลิวไม้ 12 แผงกระดาษ #9890 IMM,กิ๊บหนีบผ้า-เลส12ตัว แผงกระดาษ,0.7959970235824585
