ลำดับ,รายการ,จำนวน,ราคา/หน่วย,หน่วย,จำนวนเงิน,cost,ราคาขาย,Barcode
214,สมุดบัญชีปกแข็ง 29988 CKD,1 แพค,90,6,90,15,30,8.85892E+12
215,กระดานหนีบ A4 ใหญ่ #1084 (ไม้2),6 ชิ้น,15,1,90,15,25,8.8594E+12
216,เทปโฟมลายเขียว(เล็ก) TVT (P5),3 โหล,28,12,84,2,5,670007
217,แม็กซ์ใหญ่+ลูก #6207 (4362),1 แพค,193,6,193,32,69,8.8594E+12
218,แม็กซ์+ลูก+ตัวแกะ 10229 /DL6579-3,6 ชิ้น,50,1,300,50,89,
219,บิลเงินสด-ปกน้ำตาล28ชุด เบอร์1 (1*10),6 แพค,85,10,510,9,20,8.85875E+12
220,ปากกาเมจิไพลอท ตราม้า กล่อง H-110 สีดำ(P10),1 กล่อง,49,12,49,4,10,8.85155E+12
221,แม็กซ์ ต.หัวโตเดี่ยว #21002 TLL,1 โหล,180,12,180,15,25,8.85983E+12
222,กระดาษคาร์บอน-สีน้ำเงิน A5 (1*100แผ่น),2 กล่อง,65,1,130,65,120,8.85091E+12
223,ไส้แม็กซ์เบอร์10กล่องเขียว-MAX(1*2),1 กล่อง,197,24,197,8,,8.85155E+12
224,ไส้แม็กซ์กล่องเขียว K.PLATINUM (1*2) PV(p5),1 กล่อง,54,24,54,2,,
225,สมุดริมลวด-กลาง A5 #84253 W,1 โหล,105,12,105,9,15,1.98721E+12
226,ซองจดหมายชมพูสั้น ตราเพชร /777 TC,1 กล่อง,195,20,195,,,
227,กาวปะยางในรถเครื่องหนัง2ชิ้นไส้ไก่,1 โหล,180,12,180,15,25,SC 114
228,ยางอุดหัวฉีดที่ชำระฝักบัวและอื่น10ชิ้น,1 โหล,175,12,175,15,25,SC 091
229,น้ำยาบัดกรีตะกั่วอย่างดี #SC-127,1 โหล,180,12,180,15,25,SC 127
230,ปะจักรยาน8ชิ้น #SC-115 SCE,1 โหล,180,12,180,15,25,SC 115
231,กระจาดร่อนแป้ง32ซม #6905,6 ชิ้น,16,1,96,16,25,8.8594E+12
232,พวงกุญแจตุ๊กตาผ้า 350/ล. SAM(p39),1 แพค,175,6,175,29,39,6.2047E+13
233,ไฟฉายชาร์ตพกพาX3 +สายUSB PAE,3 ชิ้น,38,1,114,38,69,8.8598E+12
