4/7/2568,,สมส่วน บูติค,,,,,Page 1/1
15:01:19,,รายงาน ประวัติการสร้างสินค้า,,,,,
R05.127,,ประจำปี 2568,,,,,
วันที่ เวลา สร้างสินค้า,,,รหัสสินค้า,,Barcode,รายการ,
21/4/2025 16:04,,,CL001,,CL001,ชุดประหยัด 3 สหาย #6001 ฟองตาข่ายไบร์ท,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CER008,,CER008,พานรัตนโกสินทร์32ชม.,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,BB006,,8.85199E+12,น้ำยาซักผ้าเด็กดีนี่ 550ml เขียว,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL005,,CL005,ใยขัดชุด 17 (ตาข่าย 3+ ไบร์ทติดฟองน้ำ-ฝอย),
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,BB002,,BB002,ขวดนม 4ออนส์-ตรง -RB101 ROY,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
